phase,interval_start_utc,interval_end_utc,sp_start_date,sp_end_date,weeks,start_price,end_price,total_return
min_to_max,1950-08-12 19:22,1951-01-31 11:23,1950-08-14,1951-01-29,24,18.290001,21.67,0.1848
max_to_min,1951-01-31 11:23,1951-11-30 15:13,1951-02-05,1951-11-26,42,22.200001,22.43,0.01036
min_to_max,1951-11-30 15:13,1952-05-25 19:43,1951-12-03,1952-05-19,24,23.01,23.610001,0.026076
max_to_min,1952-05-25 19:43,1953-05-10 16:09,1952-05-26,1953-05-04,49,23.940001,25.0,0.044277
min_to_max,1953-05-10 16:09,1953-11-19 12:33,1953-05-11,1953-11-16,27,24.91,24.379999,-0.021277
max_to_min,1953-11-19 12:33,1954-09-24 03:37,1953-11-23,1954-09-20,43,24.360001,31.57,0.295977
min_to_max,1954-09-24 03:37,1955-03-09 13:24,1954-09-27,1955-03-07,23,32.529999,37.279999,0.146019
max_to_min,1955-03-09 13:24,1956-01-17 22:31,1955-03-14,1956-01-16,44,34.959999,44.139999,0.262586
min_to_max,1956-01-17 22:31,1956-08-06 14:11,1956-01-23,1956-08-06,28,43.110001,48.959999,0.135699
max_to_min,1956-08-06 14:11,1957-07-08 20:25,1956-08-13,1957-07-08,47,48.580002,48.900002,0.006587
min_to_max,1957-07-08 20:25,1958-01-03 05:43,1957-07-15,1957-12-30,24,49.130001,39.580002,-0.194382
max_to_min,1958-01-03 05:43,1958-11-02 10:33,1958-01-06,1958-10-27,42,40.68,50.419998,0.23943
min_to_max,1958-11-02 10:33,1959-04-19 18:09,1958-11-03,1959-04-13,23,51.560001,56.43,0.094453
max_to_min,1959-04-19 18:09,1960-03-23 02:12,1959-04-20,1960-03-21,48,58.169998,55.07,-0.053292
min_to_max,1960-03-23 02:12,1960-10-13 20:06,1960-03-28,1960-10-10,28,55.860001,54.139999,-0.030791
max_to_min,1960-10-13 20:06,1961-08-25 19:47,1960-10-17,1961-08-21,44,54.630001,68.43,0.252608
min_to_max,1961-08-25 19:47,1962-02-10 19:05,1961-08-28,1962-02-05,23,67.699997,69.879997,0.032201
max_to_min,1962-02-10 19:05,1962-12-14 14:44,1962-02-12,1962-12-10,43,70.459999,62.27,-0.116236
min_to_max,1962-12-14 14:44,1963-06-16 12:23,1962-12-17,1963-06-10,25,62.369999,69.940002,0.121373
max_to_min,1963-06-16 12:23,1964-05-29 22:44,1963-06-17,1964-05-25,49,69.949997,80.559998,0.15168
min_to_max,1964-05-29 22:44,1964-12-03 22:41,1964-06-01,1964-11-30,26,80.110001,84.419998,0.053801
max_to_min,1964-12-03 22:41,1965-10-05 04:36,1964-12-07,1965-10-04,43,84.330002,90.080002,0.068185
min_to_max,1965-10-05 04:36,1966-03-21 07:09,1965-10-11,1966-03-21,23,91.370003,89.199997,-0.02375
max_to_min,1966-03-21 07:09,1967-02-05 05:50,1966-03-28,1967-01-30,44,89.620003,86.660004,-0.033028
min_to_max,1967-02-05 05:50,1967-08-30 05:52,1967-02-06,1967-08-28,29,87.18,92.639999,0.062629
max_to_min,1967-08-30 05:52,1968-07-24 12:32,1967-09-04,1968-07-22,46,93.68,99.330002,0.060312
min_to_max,1968-07-24 12:32,1969-01-15 16:45,1968-07-29,1969-01-13,24,97.650002,100.440002,0.028571
max_to_min,1969-01-15 16:45,1969-11-13 15:22,1969-01-20,1969-11-10,42,101.690002,98.330002,-0.033042
min_to_max,1969-11-13 15:22,1970-05-04 18:01,1969-11-17,1970-05-04,24,96.410004,79.370003,-0.176745
max_to_min,1970-05-04 18:01,1971-04-13 11:40,1970-05-11,1971-04-12,48,78.599998,102.879997,0.308906
min_to_max,1971-04-13 11:40,1971-10-29 20:16,1971-04-19,1971-10-25,27,104.010002,95.099998,-0.085665
max_to_min,1971-10-29 20:16,1972-09-07 12:00,1971-11-01,1972-09-04,44,92.800003,111.510002,0.201616
min_to_max,1972-09-07 12:00,1973-02-22 14:34,1972-09-11,1973-02-19,23,109.510002,114.980003,0.04995
max_to_min,1973-02-22 14:34,1973-12-28 00:40,1973-02-26,1973-12-24,43,112.190002,92.900002,-0.17194
min_to_max,1973-12-28 00:40,1974-07-07 15:11,1973-12-31,1974-07-01,26,97.550003,86.019997,-0.118196
max_to_min,1974-07-07 15:11,1975-06-16 12:42,1974-07-08,1975-06-16,49,81.089996,91.459999,0.127883
min_to_max,1975-06-16 12:42,1975-12-18 05:11,1975-06-23,1975-12-15,25,93.620003,88.089996,-0.059069
max_to_min,1975-12-18 05:11,1976-10-17 10:33,1975-12-22,1976-10-11,42,88.139999,101.639999,0.153165
min_to_max,1976-10-17 10:33,1977-04-01 18:05,1976-10-18,1977-03-28,23,101.470001,99.0,-0.024342
max_to_min,1977-04-01 18:05,1978-02-22 23:38,1977-04-04,1978-02-20,46,98.230003,87.959999,-0.104551
min_to_max,1978-02-22 23:38,1978-09-18 22:57,1978-02-27,1978-09-18,29,87.720001,103.209999,0.176585
max_to_min,1978-09-18 22:57,1979-08-09 02:58,1978-09-25,1979-08-06,45,101.860001,104.300003,0.023954
min_to_max,1979-08-09 02:58,1980-01-27 15:31,1979-08-13,1980-01-21,23,107.419998,112.099998,0.043567
max_to_min,1980-01-27 15:31,1980-11-26 15:59,1980-01-28,1980-11-24,43,114.849998,138.309998,0.204266
min_to_max,1980-11-26 15:59,1981-05-20 18:34,1980-12-01,1981-05-18,24,137.210007,132.539993,-0.034036
max_to_min,1981-05-20 18:34,1982-05-02 17:59,1981-05-25,1982-04-26,48,131.330002,119.260002,-0.091906
min_to_max,1982-05-02 17:59,1982-11-15 04:45,1982-05-03,1982-11-15,28,116.82,137.029999,0.173001
max_to_min,1982-11-15 04:45,1983-09-20 09:30,1982-11-22,1983-09-19,43,134.220001,167.619995,0.248845
min_to_max,1983-09-20 09:30,1984-03-05 05:28,1983-09-26,1984-03-05,23,170.070007,157.889999,-0.071618
max_to_min,1984-03-05 05:28,1985-01-12 20:49,1984-03-12,1985-01-07,43,156.339996,164.240005,0.050531
min_to_max,1985-01-12 20:49,1985-07-29 10:50,1985-01-14,1985-07-29,28,170.509995,189.600006,0.111958
max_to_min,1985-07-29 10:50,1986-07-04 16:46,1985-08-05,1986-06-30,47,190.619995,250.839996,0.315916
min_to_max,1986-07-04 16:46,1986-12-31 01:55,1986-07-07,1986-12-29,25,244.050003,244.669998,0.00254
max_to_min,1986-12-31 01:55,1987-10-29 02:37,1987-01-05,1987-10-26,42,252.190002,227.669998,-0.097228
min_to_max,1987-10-29 02:37,1988-04-15 00:11,1987-11-02,1988-04-11,23,255.75,270.160004,0.056344
max_to_min,1988-04-15 00:11,1989-03-14 18:23,1988-04-18,1989-03-13,47,259.209991,295.320007,0.139308
min_to_max,1989-03-14 18:23,1989-10-06 22:49,1989-03-20,1989-10-02,28,289.920013,350.869995,0.21023
max_to_min,1989-10-06 22:49,1990-08-22 04:50,1989-10-09,1990-08-20,45,359.799988,328.51001,-0.086965
min_to_max,1990-08-22 04:50,1991-02-08 13:38,1990-08-27,1991-02-04,23,321.440002,348.339996,0.083686
max_to_min,1991-02-08 13:38,1991-12-09 19:59,1991-02-11,1991-12-09,43,368.579987,378.26001,0.026263
min_to_max,1991-12-09 19:59,1992-06-07 18:13,1991-12-16,1992-06-01,24,384.459991,417.299988,0.085419
max_to_min,1992-06-07 18:13,1993-05-23 09:22,1992-06-08,1993-05-17,49,413.359985,440.369995,0.065343
min_to_max,1993-05-23 09:22,1993-11-30 04:55,1993-05-24,1993-11-29,27,448.0,461.899994,0.031027
max_to_min,1993-11-30 04:55,1994-10-02 11:58,1993-12-06,1994-09-26,42,466.429993,460.820007,-0.012027
min_to_max,1994-10-02 11:58,1995-03-17 20:05,1994-10-03,1995-03-13,23,461.73999,490.049988,0.061312
max_to_min,1995-03-17 20:05,1996-01-29 16:15,1995-03-20,1996-01-29,45,496.140015,624.219971,0.258153
min_to_max,1996-01-29 16:15,1996-08-21 04:27,1996-02-05,1996-08-19,28,641.429993,666.580017,0.039209
max_to_min,1996-08-21 04:27,1997-07-20 12:06,1996-08-26,1997-07-14,46,663.880005,918.380005,0.383352
min_to_max,1997-07-20 12:06,1998-01-12 06:36,1997-07-21,1998-01-12,25,912.940002,939.210022,0.028775
max_to_min,1998-01-12 06:36,1998-11-11 01:10,1998-01-19,1998-11-09,42,961.51001,1130.199951,0.175443
min_to_max,1998-11-11 01:10,1999-04-29 23:31,1998-11-16,1999-04-26,23,1135.869995,1360.040039,0.197355
max_to_min,1999-04-29 23:31,2000-04-06 01:05,1999-05-03,2000-04-03,48,1354.630005,1505.969971,0.111721
min_to_max,2000-04-06 01:05,2000-10-25 10:17,2000-04-10,2000-10-23,28,1504.459961,1395.780029,-0.072239
max_to_min,2000-10-25 10:17,2001-09-04 06:09,2000-10-30,2001-09-03,44,1398.660034,1133.579956,-0.189524
min_to_max,2001-09-04 06:09,2002-02-18 22:22,2001-09-10,2002-02-18,23,1092.540039,1104.180054,0.010654
max_to_min,2002-02-18 22:22,2002-12-24 19:39,2002-02-25,2002-12-23,43,1109.430054,897.380005,-0.191134
min_to_max,2002-12-24 19:39,2003-06-30 12:59,2002-12-30,2003-06-30,26,879.390015,974.5,0.108154
max_to_min,2003-06-30 12:59,2004-06-12 00:24,2003-07-07,2004-06-07,48,1004.419983,1140.420044,0.135402
min_to_max,2004-06-12 00:24,2004-12-13 14:04,2004-06-14,2004-12-13,26,1125.290039,1198.680054,0.065219
max_to_min,2004-12-13 14:04,2005-10-13 15:16,2004-12-20,2005-10-10,42,1194.650024,1187.329956,-0.006127
min_to_max,2005-10-13 15:16,2006-03-29 17:52,2005-10-17,2006-03-27,23,1190.099976,1301.609985,0.093698
max_to_min,2006-03-29 17:52,2007-02-17 23:39,2006-04-03,2007-02-12,45,1297.810059,1433.369995,0.104453
min_to_max,2007-02-17 23:39,2007-09-12 23:49,2007-02-19,2007-09-10,29,1455.540039,1451.699951,-0.002638
max_to_min,2007-09-12 23:49,2008-08-03 17:13,2007-09-17,2008-07-28,45,1476.650024,1234.369995,-0.164074
min_to_max,2008-08-03 17:13,2009-01-24 01:02,2008-08-04,2009-01-19,24,1249.01001,850.119995,-0.319365
max_to_min,2009-01-24 01:02,2009-11-22 12:31,2009-01-26,2009-11-16,42,836.570007,1109.300049,0.32601
min_to_max,2009-11-22 12:31,2010-05-16 00:00,2009-11-23,2010-05-10,24,1106.23999,1159.72998,0.048353
max_to_min,2010-05-16 00:00,2011-04-28 16:24,2010-05-17,2011-04-25,49,1136.939941,1335.25,0.174424
min_to_max,2011-04-28 16:24,2011-11-10 20:13,2011-05-02,2011-11-07,27,1361.219971,1261.119995,-0.073537
max_to_min,2011-11-10 20:13,2012-09-16 04:48,2011-11-14,2012-09-10,43,1251.780029,1429.079956,0.141638
min_to_max,2012-09-16 04:48,2013-03-02 19:27,2012-09-17,2013-02-25,23,1461.189941,1487.849976,0.018245
max_to_min,2013-03-02 19:27,2014-01-07 10:19,2013-03-04,2014-01-06,44,1525.199951,1826.77002,0.197725
min_to_max,2014-01-07 10:19,2014-07-23 10:42,2014-01-13,2014-07-21,27,1819.199951,1973.630005,0.084889
max_to_min,2014-07-23 10:42,2015-06-29 04:24,2014-07-28,2015-06-29,48,1978.910034,2057.639893,0.039784
min_to_max,2015-06-29 04:24,2015-12-27 20:22,2015-07-06,2015-12-21,24,2068.76001,2021.150024,-0.023014
max_to_min,2015-12-27 20:22,2016-10-25 23:16,2015-12-28,2016-10-24,43,2056.5,2151.330078,0.046112
min_to_max,2016-10-25 23:16,2017-04-11 09:26,2016-10-31,2017-04-10,23,2126.149902,2357.159912,0.108652
max_to_min,2017-04-11 09:26,2018-03-10 06:00,2017-04-17,2018-03-05,46,2349.01001,2720.939941,0.158335
min_to_max,2018-03-10 06:00,2018-10-02 19:14,2018-03-12,2018-10-01,29,2783.02002,2924.590088,0.050869
max_to_min,2018-10-02 19:14,2019-08-18 18:43,2018-10-08,2019-08-12,44,2884.429932,2882.699951,-0.0006
min_to_max,2019-08-18 18:43,2020-02-04 17:56,2019-08-19,2020-02-03,24,2923.649902,3248.919922,0.111255
max_to_min,2020-02-04 17:56,2020-12-05 23:10,2020-02-10,2020-11-30,42,3352.090088,3621.629883,0.080409
min_to_max,2020-12-05 23:10,2021-06-03 07:45,2020-12-07,2021-05-31,25,3691.959961,4204.109863,0.13872
max_to_min,2021-06-03 07:45,2022-05-17 15:15,2021-06-07,2022-05-16,49,4226.52002,4008.01001,-0.0517
min_to_max,2022-05-17 15:15,2022-11-25 10:06,2022-05-23,2022-11-21,26,3973.75,3949.939941,-0.005992
max_to_min,2022-11-25 10:06,2023-09-29 01:00,2022-11-28,2023-09-25,43,3963.939941,4337.439941,0.094224
min_to_max,2023-09-29 01:00,2024-03-13 05:41,2023-10-02,2024-03-11,23,4288.390137,5117.939941,0.193441
max_to_min,2024-03-13 05:41,2025-01-24 09:11,2024-03-18,2025-01-20,44,5149.419922,5996.660156,0.164531
min_to_max,2025-01-24 09:11,2025-08-15 16:30,2025-01-27,2025-08-11,28,6012.279785,6373.450195,0.060072
